City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
562,Belyy Yar,RU,58.89,light intensity shower rain,53.6039,91.3903,Pasportnyy Stol
564,Sao Joao Batista,BR,64.22,broken clouds,-27.2761,-48.8494,INNOVARE SLIM SÃO JOÃO BATISTA
565,Rio Gallegos,AR,51.85,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
570,Nyandoma,RU,55.26,light rain,61.669,40.1991,"Hotel ""Sputnik"" (Sputnik Hotel)"
571,Valparaiso,CL,60.01,fog,-33.0393,-71.6273,Hotel Ultramar
572,Visnes,NO,56.82,few clouds,59.3556,5.2242,Park Inn Haugesund Airport
573,Whitehorse,CA,59.77,scattered clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
574,Kingaroy,AU,54.72,light rain,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
579,Pingliang,CN,55.02,scattered clouds,35.5392,106.6861,North Gate Hostel
580,Constitucion,CL,58.35,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
582,Gold Coast,AU,60.01,scattered clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
584,Kristiinankaupunki,FI,50.7,clear sky,62.2743,21.376,Hotel Alma
585,Mount Barker,AU,50.14,broken clouds,-35.0667,138.8667,A Suite Spot in the Hills
586,Terney,RU,60.71,broken clouds,45.0503,136.6092,"Hotel ""Ternay"""
590,Puerto Rico,AR,59.31,overcast clouds,-26.796,-55.024,Hotel Cabañas del Prado
592,Kaberamaido,UG,66.22,clear sky,1.7389,33.1594,"Little Orchard, Kaberamaido"
594,Mondlo,ZA,52.74,light rain,-27.983,30.7177,Zungu N N
598,Susehri,TR,68.5,clear sky,40.1644,38.0867,Su Vadi Hotel
599,Xam Nua,LA,66.04,overcast clouds,20.4197,104.0439,Xee Wang Guesthouse
601,Homer,US,59.77,mist,59.6425,-151.5483,Beluga Lake Lodge
603,Libertador General San Martin,AR,66.97,clear sky,-23.8064,-64.7876,Posada del Sol
607,Lerwick,GB,51.8,overcast clouds,60.1545,-1.1494,The Lerwick Hotel
608,Rebra,RO,66.02,overcast clouds,47.3167,24.5,Agropensiunea Imperial
612,Umea,SE,50.92,clear sky,63.8284,20.2597,Hotel Avenue | ProfilHotels
614,Cap Malheureux,MU,67.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
618,Ivdel,RU,62.28,few clouds,60.6911,60.4206,Ivdel'
620,Horsham,GB,64.6,clear sky,51.064,-0.3272,Springfields Hotel
627,Copiapo,CL,56.89,clear sky,-27.3667,-70.3333,Antay Casino Hotel
632,Erenhot,CN,62.92,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
637,Grindavik,IS,58.95,light intensity drizzle,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
639,Asosa,ET,60.93,light rain,10.0667,34.5333,Blendana Hotel Assosa
642,Taltal,CL,61.03,few clouds,-25.4,-70.4833,Residencial Karime
655,Olafsvik,IS,55.36,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
659,Osakarovka,KZ,57.83,clear sky,50.565,72.5692,Motel' Osakarovka
667,Newport,GB,66.02,overcast clouds,51.5877,-2.9984,ibis budget Newport
668,Lata,PT,59.95,clear sky,40.1629,-8.3327,Casa Maquia
672,Njombe,TZ,52.75,scattered clouds,-9.3333,34.7667,Hillside Hotel
675,Vulcan,RO,61.43,scattered clouds,45.3833,23.2667,Green Paradise Restaurant
676,Magadan,RU,51.53,overcast clouds,59.5667,150.8,Magadan hotel
677,Artigas,UY,52.02,clear sky,-30.4,-56.4667,Hotel Casino San Eugenio del Cuareim
678,High Level,CA,69.91,scattered clouds,58.5169,-117.136,Days Inn by Wyndham High Level
679,Jelenia Gora,PL,61.3,overcast clouds,50.8997,15.729,Hotel BARON Karczma Grodzka
680,Mantenopolis,BR,69.19,overcast clouds,-18.8625,-41.1228,Deed's Hotel
683,Peniche,PT,68.11,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
684,Sao Joao Da Barra,BR,68.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
689,Mombetsu,JP,63.77,overcast clouds,44.3525,143.3525,Okhotsk Palace Hotel
691,Luzhou,CN,68.29,overcast clouds,28.8724,105.4405,Shijichun Hotel
692,Coquimbo,CL,55.13,scattered clouds,-29.9533,-71.3436,Hotel San Juan
693,Bageshwar,IN,69.64,overcast clouds,29.85,79.7667,Dangwal house
699,Petropavlovsk-Kamchatskiy,RU,59.59,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
703,Cidreira,BR,52.65,scattered clouds,-30.1811,-50.2056,Hotel Castelo
704,Montana,BG,69.19,overcast clouds,43.4125,23.225,Веста
705,Ullapool,GB,58.35,scattered clouds,57.8987,-5.1604,Argyll Hotel
706,Skelleftea,SE,51.01,clear sky,64.7507,20.9528,Quality Hotel Skellefteå Stadshotell
710,Bemidji,US,65.05,overcast clouds,47.4736,-94.8803,Hampton Inn & Suites Bemidji
711,Kissidougou,GN,69.69,light rain,9.1848,-10.0999,Hôtel Mantis
712,Kanye,BW,62.22,clear sky,-24.9667,25.3327,The Savanna Lodge
