City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Dzierzoniow,PL,50.7282,16.6514,58.17,96,100,3.24,overcast clouds
174,Port Hardy,CA,50.6996,-127.4199,68.18,73,75,10.36,broken clouds
175,Lima,PE,-12.0432,-77.0282,61.05,72,75,12.66,broken clouds
176,Puerto Escondido,MX,15.85,-97.0667,86.83,58,20,17.27,few clouds
177,Ponta Do Sol,PT,32.6667,-17.1,72.72,75,49,1.14,scattered clouds
178,Ahipara,NZ,-35.1667,173.1667,54.32,72,2,8.28,clear sky
179,Esperance,AU,-33.8667,121.9,46.45,82,31,8.16,scattered clouds
180,Ankazobe,MG,-18.3167,47.1167,62.17,75,79,2.28,broken clouds
181,Rocha,UY,-34.4833,-54.3333,46.24,78,1,6.42,clear sky
182,Carnarvon,AU,-24.8667,113.6333,62.08,44,2,16.35,clear sky
183,Waingapu,ID,-9.6567,120.2641,75.16,87,7,7.18,clear sky
184,Araguacu,BR,-12.9306,-49.8264,90.75,18,71,4.03,broken clouds
185,Glinka,RU,54.6404,32.8781,62.64,73,87,3.8,overcast clouds
186,Mawlaik,MM,23.6333,94.4167,75.4,98,96,0.87,overcast clouds
187,Urbana,US,40.1106,-88.2073,99.41,74,40,9.22,scattered clouds
188,Wisconsin Rapids,US,44.3836,-89.8174,82.69,49,0,16.11,clear sky
189,Vila Velha,BR,-20.3297,-40.2925,67.95,90,100,21.85,overcast clouds
190,Nara,JP,34.6851,135.8049,78.49,62,100,3.24,light rain
191,Aleksandrov Gay,RU,50.147,48.5704,80.58,22,48,9.75,scattered clouds
192,Mogadishu,SO,2.0371,45.3438,75.78,81,2,17.85,clear sky
193,College,US,64.8569,-147.8028,59.29,81,75,3.44,broken clouds
194,Zell Am See,AT,47.3256,12.7944,64.71,43,9,2.71,clear sky
195,Cherskiy,RU,68.75,161.3,46.38,67,13,11.52,few clouds
196,Sena Madureira,BR,-9.0656,-68.6569,83.91,46,72,5.14,broken clouds
197,Laguna,US,38.421,-121.4238,94.08,37,0,4.61,clear sky
198,Nouadhibou,MR,20.931,-17.0347,75.18,73,20,19.57,sand
199,San Luis,AR,-33.295,-66.3356,65.21,14,1,14.92,clear sky
200,Altamont,US,42.2068,-121.7372,91.78,18,0,5.99,clear sky
201,Arroyos Y Esteros,PY,-25.0667,-57.1,64.2,30,99,6.58,overcast clouds
202,Ust-Omchug,RU,61.15,149.6333,47.79,87,100,4.61,overcast clouds
203,Bengkulu,ID,-3.8004,102.2655,74.37,93,100,7.81,moderate rain
204,Machaneng,BW,-23.1862,27.4886,71.64,25,0,5.55,clear sky
205,Colac,AU,-38.3333,143.5833,46.17,97,100,9.22,moderate rain
206,Lavrentiya,RU,65.5833,-171.0,45.77,83,100,5.35,overcast clouds
207,Tual,ID,-5.6667,132.75,79.72,85,39,17.87,scattered clouds
208,Mar Del Plata,AR,-38.0023,-57.5575,59.02,36,0,16.11,clear sky
209,Carlyle,US,38.6103,-89.3726,91.8,90,91,9.6,overcast clouds
210,Zatoka,UA,46.0725,30.4654,76.77,70,51,8.63,broken clouds
211,El Real De Santa Maria,PA,8.109,-77.7325,86.11,66,87,3.09,overcast clouds
212,Banda Aceh,ID,5.5577,95.3222,76.15,91,100,13.06,moderate rain
213,Payson,US,40.0444,-111.7321,92.41,22,0,5.75,haze
214,Georgetown,MY,5.4112,100.3354,80.53,91,20,3.44,few clouds
215,Geraldton,AU,-28.7667,114.6,48.61,76,0,10.36,clear sky
216,Halifax,CA,44.6453,-63.5724,78.69,61,100,14.97,overcast clouds
217,Vila,PT,42.0304,-8.1588,56.28,78,52,3.58,broken clouds
218,Luderitz,NA,-26.6481,15.1594,60.44,45,0,7.47,clear sky
219,Cusuna,HN,15.85,-85.2333,89.02,58,100,12.21,overcast clouds
220,Komsomolskiy,UZ,40.4272,71.7189,68.72,42,25,6.91,scattered clouds
221,Kaitangata,NZ,-46.2817,169.8464,43.74,78,53,4.09,broken clouds
222,Nanlong,CN,31.3533,106.0631,65.35,96,100,7.0,overcast clouds
223,Baykit,RU,61.67,96.37,37.22,88,100,14.09,overcast clouds
224,Tucuman,AR,-26.8241,-65.2226,66.2,20,0,13.8,clear sky
225,Iqaluit,CA,63.7506,-68.5145,46.13,81,40,6.91,scattered clouds
226,Ardakan,IR,32.31,54.0175,76.48,13,0,0.29,clear sky
227,Shakawe,BW,-18.3667,21.85,69.04,23,0,5.41,clear sky
228,Pompeu,BR,-19.2244,-44.9353,75.2,40,84,13.49,broken clouds
229,Parsons,US,37.3403,-95.2611,82.27,41,60,11.54,broken clouds
230,Palafrugell,ES,41.9174,3.1631,83.89,72,87,3.0,light rain
